,price,mileage,energy_consumption__co2_emissions,general_information__warranty,vehicle_age,model_encoded,model_rank_per_year,transmission_automatic,transmission_manual,energy_consumption__emission_class_Euro 5,energy_consumption__emission_class_Euro 6,energy_consumption__emission_class_Euro 6b,energy_consumption__emission_class_Euro 6c,energy_consumption__emission_class_Euro 6d,energy_consumption__emission_class_Euro 6d-TEMP,energy_consumption__emission_class_Euro 6d-TEMP-EVAP,energy_consumption__emission_class_Euro 6e,energy_consumption__fuel_diesel,energy_consumption__fuel_electric,energy_consumption__fuel_hybrid,energy_consumption__fuel_hybrid - diesel,energy_consumption__fuel_hybrid - petrol,energy_consumption__fuel_petrol,energy_consumption__fuel_petrol super,general_information__brand_audi,general_information__brand_bmw,general_information__brand_ford,general_information__brand_kia,general_information__brand_mercedes,general_information__brand_peugeot,general_information__brand_volkswagen,general_information__brand_volvo
42,28300.0,-1.3851537665584333,-0.06532152846030524,1.0180707644843399,-1.2092150471389949,-1.0284899929718103,0.6171959068816307,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
43,22950.0,-0.5253618663663938,0.4138792643989793,0.0034603530597136587,-0.47839104269130883,-0.27719930121732594,-0.2131299050992156,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
44,23998.0,0.0331200669649249,0.4138792643989793,0.0034603530597136587,-0.8438030449151518,-0.3602152872873795,0.15308466762103426,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
46,14985.0,0.7595716128919886,0.15431216826686683,-1.0111500583649125,-0.11297904046746587,-1.019670234671984,-0.6199836491331335,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
47,23650.0,-0.5473218838444426,-2.281625195434496,1.0180707644843399,-0.8438030449151518,-1.0284899929718103,-0.20918418149889875,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
48,28590.0,-1.000444775503783,0.4138792643989793,-1.0111500583649125,-0.8438030449151518,-0.3623850786641521,0.15190843303036738,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
49,23750.0,-0.6344263204168021,-2.281625195434496,1.0180707644843399,-0.8438030449151518,-1.019670234671984,-0.20440302838683874,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
51,14495.0,0.29606811743719325,0.15431216826686683,0.0034603530597136587,-0.11297904046746587,-1.0284899929718103,-0.6223742256891635,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
54,18985.0,-1.0676053748628278,0.21421226737427743,0.0034603530597136587,-0.8438030449151518,-1.0336183464816793,-0.2119642399211274,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
55,18499.0,-0.43381638407576883,0.4737793635063899,0.0034603530597136587,0.61784496398022,-1.0284899929718103,-0.7601042404192517,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
57,20995.0,-0.6607456465753567,-2.3015918951369665,-0.757497455508756,-0.8438030449151518,-1.019670234671984,-0.20440302838683874,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
59,21990.0,1.1944126537724573,0.35397916529156875,-1.0111500583649125,-0.47839104269130883,-1.019670234671984,-0.4814567755510352,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
60,19299.0,-0.12964562089346607,0.034511970052045704,0.0034603530597136587,0.2524329617563771,-1.0284899929718103,-0.7050122345272164,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
61,19998.0,0.4815294561134683,0.4138792643989793,0.0034603530597136587,-0.47839104269130883,-0.34121257700928953,-0.23626411976901557,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
