,price_eur,mileage,transmission,energy_consumption__emission_class,energy_consumption__fuel,link,energy_consumption__co2_emissions,general_information__brand,general_information__model,general_information__warranty,vehicle_history__year,model_clean,energy_consumption__fuel_clean,model,brand_rank,emission_rank,fuel_rank,transmission_rank,model_rank,car_age,mileage_per_year,log_mileage,log_mileage_per_year,is_luxury,is_premium,is_modern,age_mileage_interaction,brand_model_interaction
3593,42990,11.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id4/volkwagen-id4-pro-business-77-kwh-286pk/id/4875953,0,volkswagen,id4,12,2025.0,id4,electric,id4,6,7.0,10.0,8,1.0636456858815897,0.0,11.0,2.4849066497880004,2.4849066497880004,0,1,1,0.0,6.381874115289538
3595,38990,31813.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id4/pro-77-kwh-286-pk-acc-camera-apple-carplay/id/4875032,0,volkswagen,id4,12,2024.0,id4,electric,id4,6,7.0,10.0,8,1.0636456858815897,1.0,15906.5,10.367661723458307,9.674545975106946,0,1,1,15906.5,6.381874115289538
3597,36990,32032.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/volkswagen/tiguan-allspace/tiguan-allspace-life-business-15-tsi-110-kw-150-ch-7-vitesses-dsg/id/4875958,1,volkswagen,tiguan allspace,12,2023.0,tiguan allspace,petrol,tiguan allspace,6,5.0,7.0,8,1.0493613994547253,2.0,10677.333333333334,10.37452190040887,9.275972045405013,0,1,0,21354.666666666668,6.296168396728351
3598,28490,42270.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id4/pro-performance-life-77-kwh-204pk-naviapp-connectblthcruisepdc/id/4875139,1,volkswagen,id4,12,2021.0,id4,electric,id4,6,7.0,10.0,8,1.0636456858815897,4.0,8454.0,10.651856550721268,9.042513261332681,0,1,1,33816.0,6.381874115289538
3600,37990,5000.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pro-performance-business-59-kwh-150-kw-204-pk/id/4875402,0,volkswagen,id3,12,2025.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,0.0,5000.0,8.517393171418904,8.517393171418904,0,1,1,0.0,6.314363365705859
3603,32990,48239.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id5/id5-pro-12-lederadapt-cruisecameragarantie/id/4875480,0,volkswagen,id5,12,2024.0,id5,electric,id5,6,7.0,10.0,8,1.0693245546997623,1.0,24119.5,10.783943831401068,10.090817380311174,0,1,1,24119.5,6.415947328198573
3604,25499,119399.0,automatic,Euro 6d-TEMP,petrol,https://gocar.be/en/cars/volkswagen/tiguan-allspace/15-tsi-act-highline/id/4875776,178,volkswagen,tiguan allspace,12,2020.0,tiguan allspace,petrol,tiguan allspace,6,7.0,7.0,8,1.0493613994547253,5.0,19899.833333333332,11.690234479940639,9.898516885882708,0,1,1,99499.16666666666,6.296168396728351
3605,34990,29224.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id4/77kwhcarplaynavigatiecamerasmartclimate/id/4875949,1,volkswagen,id4,12,2023.0,id4,electric,id4,6,7.0,10.0,8,1.0636456858815897,2.0,9741.333333333334,10.282779786340269,9.184235929890075,0,1,1,19482.666666666668,6.381874115289538
3606,33990,47581.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id4/stuur-zetelverwarmingcarplaynavigatiecamera/id/4875945,1,volkswagen,id4,12,2023.0,id4,electric,id4,6,7.0,10.0,8,1.0636456858815897,2.0,15860.333333333334,10.770209817441788,9.671639560591771,0,1,1,31720.666666666668,6.381874115289538
3607,38685,21200.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id4/id4-gtxnaviparkeerhulphead-upstylingsports/id/4875542,125,volkswagen,id4,0,2022.0,id4,electric,id4,6,7.0,10.0,8,1.0636456858815897,3.0,5300.0,9.961803629358965,8.575650760987806,0,1,1,15900.0,6.381874115289538
3608,33990,72093.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/volkswagen/tiguan-allspace/allspace7plpano-daklederautomaattopwaybe/id/4874004,133,volkswagen,tiguan allspace,12,2022.0,tiguan allspace,petrol,tiguan allspace,6,8.0,7.0,8,1.0493613994547253,3.0,18023.25,11.18572610205713,9.799473352410915,0,1,1,54069.75,6.296168396728351
3609,31200,70917.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id5/pro77-kwh553-km-wltp961-batt-health/id/4873823,125,volkswagen,id5,12,2023.0,id5,electric,id5,6,7.0,10.0,8,1.0693245546997623,2.0,23639.0,11.169279559000872,10.070695471520034,0,1,1,47278.0,6.415947328198573
3611,38970,15309.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id4/pro-business-286-pk-stuur-zetelverwarming-achteruitrijcamera/id/4874604,0,volkswagen,id4,12,2024.0,id4,electric,id4,6,7.0,10.0,8,1.0636456858815897,1.0,7654.5,9.63626148865173,8.94317962274515,0,1,1,7654.5,6.381874115289538
3612,27950,64450.0,automatic,Euro 6d,electric,https://gocar.be/en/cars/volkswagen/id4/pro-performance-77-kwh-204-pk-leder-verw-zetels-full-led/id/4874627,0,volkswagen,id4,12,2021.0,id4,electric,id4,6,8.0,10.0,8,1.0636456858815897,4.0,12890.0,11.073660524150764,9.464284672443105,0,1,1,51560.0,6.381874115289538
3616,29990,24081.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pro-life-business-58-kwh-204-pk-acc-pdc-apple-carplay/id/4873088,0,volkswagen,id3,12,2023.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,2.0,8027.0,10.089219952452165,8.990690709916228,0,1,1,16054.0,6.314363365705859
3617,23490,69724.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-58-kwh-pro-performance-204pk-naviapp-connectpdcadaptice-cruiseblthzetelverwarming/id/4873575,1,volkswagen,id3,12,2023.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,2.0,23241.333333333332,11.152314212495689,10.05373060753237,0,1,1,46482.666666666664,6.314363365705859
3618,34990,53100.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id4/pro-77-kwh-128-kw-174-pk-1-versnellingen/id/4873084,4,volkswagen,id4,24,2023.0,id4,electric,id4,6,7.0,10.0,8,1.0636456858815897,2.0,17700.0,10.879951039444416,9.781376414141157,0,1,1,35400.0,6.381874115289538
3620,33990,6300.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pro-performance-business-59-kwh-150-kw-204-pk/id/4871140,0,volkswagen,id3,12,2025.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,0.0,6300.0,8.748463629942055,8.748463629942055,0,1,1,0.0,6.314363365705859
3621,42500,46133.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id7/pro-business-77-kwh-286-pk/id/4870879,0,volkswagen,id7,12,2023.0,id7,electric,id7,6,7.0,10.0,8,1.0865464691150306,2.0,15377.666666666666,10.739305484260235,9.640736546627139,0,1,1,30755.333333333332,6.519278814690184
3623,16990,100747.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-life-58-kwh-navigatie-apple-carplayandroid-auto-parkeersensoren-adaptive-cruise-control-stoel-en-stuurverwarming-lichtmetalen-velgen-climate-control/id/4871354,0,volkswagen,id3,0,2021.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,4.0,20149.4,11.520377628495268,9.910979418294424,0,1,1,80597.6,6.314363365705859
3624,26490,45877.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id4/55kwh-pure-performance/id/4871302,0,volkswagen,id4,12,2022.0,id4,electric,id4,6,7.0,10.0,8,1.0636456858815897,3.0,11469.25,10.733740978314072,9.347512005875425,0,1,1,34407.75,6.381874115289538
3625,27995,28400.0,automatic,Euro 6d,electric,https://gocar.be/en/cars/volkswagen/id4/id4-performance-77kw-pro-1st-alcantaraleder/id/4870870,125,volkswagen,id4,12,2021.0,id4,electric,id4,6,8.0,10.0,8,1.0636456858815897,4.0,5680.0,10.254179634797001,8.644882552557126,0,1,1,22720.0,6.381874115289538
3628,30990,10500.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pro-150-kw-204-ps-58-kwh-1-speed-automatic-transmission/id/4871642,0,volkswagen,id3,24,2024.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,1.0,5250.0,9.259225769705994,8.566173813637858,0,1,1,5250.0,6.314363365705859
3629,34950,44789.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id5/gtx-77-kwh-kw-pk-1-versnellingen/id/4871634,0,volkswagen,id5,12,2022.0,id5,electric,id5,6,7.0,10.0,8,1.0693245546997623,3.0,11197.25,10.709740179201345,9.323512795074883,0,1,1,33591.75,6.415947328198573
3630,29950,4950.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pure-52-kwh-170pk/id/4871640,0,volkswagen,id3,24,2025.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,0.0,4950.0,8.507344855361422,8.507344855361422,0,1,1,0.0,6.314363365705859
