,price_eur,mileage,transmission,energy_consumption__emission_class,energy_consumption__fuel,link,energy_consumption__co2_emissions,general_information__brand,general_information__model,general_information__warranty,vehicle_history__year,model_clean,energy_consumption__fuel_clean,model,brand_rank,emission_rank,fuel_rank,transmission_rank,model_rank,car_age,mileage_per_year,log_mileage,log_mileage_per_year,is_luxury,is_premium,is_modern,age_mileage_interaction,brand_model_interaction
3632,30990,10672.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pro-life-business-58-kwh-204-pk-acc-pdc-apple-carplay/id/4870397,0,volkswagen,id3,12,2023.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,2.0,3557.3333333333335,9.275472466913964,8.177047549428716,0,1,1,7114.666666666667,6.314363365705859
3633,43950,6.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id4/pro-business-sport-77-kwh-210-kw-286-ch/id/4870197,1,volkswagen,id4,12,2025.0,id4,electric,id4,6,7.0,10.0,8,1.0636456858815897,0.0,6.0,1.9459101490553132,1.9459101490553132,0,1,1,0.0,6.381874115289538
3634,43990,36503.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/volkswagen/tiguan-allspace/r-line7zitplautomaat150pkpanodaktrekhaaktopwaybe/id/4870167,164,volkswagen,tiguan allspace,12,2024.0,tiguan allspace,petrol,tiguan allspace,6,8.0,7.0,8,1.0493613994547253,1.0,18251.5,10.505177122607238,9.812057335930241,0,1,1,18251.5,6.296168396728351
3636,42950,15252.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/van/volkswagen/idbuzz-cargo/id-150-kw-204-ch-77-kwh-rwd-empattement-2989-mm-nwb/id/4869088,1,volkswagen,idbuzz cargo,12,2023.0,idbuzz cargo,electric,idbuzz cargo,6,7.0,10.0,8,1.0741857809230666,2.0,5084.0,9.632531483999934,8.53405030848266,0,1,1,10168.0,6.4451146855384
3637,28990,25700.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pro-performance-business-58-kwh-150-kw-204-pk-1-versnellingen/id/4869080,1,volkswagen,id3,24,2023.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,2.0,8566.666666666666,10.154285180632154,9.055750706920117,0,1,1,17133.333333333332,6.314363365705859
3638,34500,20794.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/volkswagen/tiguan-allspace/verkocht-7-zit-allspace-trekhaak-automaat/id/4866109,162,volkswagen,tiguan allspace,12,2024.0,tiguan allspace,petrol,tiguan allspace,6,5.0,7.0,8,1.0493613994547253,1.0,10397.0,9.942467852177012,9.24936875894366,0,1,0,10397.0,6.296168396728351
3641,35450,75150.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/volkswagen/tiguan-allspace/15-tsi-150pk-dsg-7-zit-pano-dak-el-bed-verw-lederen-zetels/id/4866517,171,volkswagen,tiguan allspace,12,2022.0,tiguan allspace,petrol,tiguan allspace,6,8.0,7.0,8,1.0493613994547253,3.0,18787.5,11.22725470181248,9.841000259524304,0,1,1,56362.5,6.296168396728351
3644,41990,30450.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id5/gtx-4motion-77-kwh-kw-ch-1-vitesse/id/4866447,0,volkswagen,id5,12,2023.0,id5,electric,id5,6,7.0,10.0,8,1.0693245546997623,2.0,10150.0,10.323874113321294,9.225327501784431,0,1,1,20300.0,6.415947328198573
3645,29990,10000.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pure-52-kwh-125-kw-170-pk-1-versnelling/id/4866813,0,volkswagen,id3,12,2024.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,1.0,5000.0,9.210440366976517,8.517393171418904,0,1,1,5000.0,6.314363365705859
3647,33990,18400.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pure-52-kwh-125-kw-170-pk-1-versnelling/id/4866838,1,volkswagen,id3,12,2025.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,0.0,18400.0,9.820160289946374,9.820160289946374,0,1,1,0.0,6.314363365705859
